Thu Jan 14 13:42:12 2010:6207 src/schema.cpp:126 void Stone::parseTable(Stone::Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<Stone::TableSchema*>*):Adding new table: GroupMapping className: GroupMapping
Thu Jan 14 13:42:12 2010:6207 src/schema.cpp:126 void Stone::parseTable(Stone::Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<Stone::TableSchema*>*):Adding new table: Grp className: Group
Thu Jan 14 13:42:12 2010:6207 src/schema.cpp:126 void Stone::parseTable(Stone::Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<Stone::TableSchema*>*):Adding new table: GruntScript className: GruntScript
Thu Jan 14 13:42:12 2010:6207 src/schema.cpp:126 void Stone::parseTable(Stone::Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<Stone::TableSchema*>*):Adding new table: History className: History
Thu Jan 14 13:42:12 2010:6207 src/schema.cpp:126 void Stone::parseTable(Stone::Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<Stone::TableSchema*>*):Adding new table: Host className: Host
Thu Jan 14 13:42:12 2010:6207 src/schema.cpp:126 void Stone::parseTable(Stone::Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<Stone::TableSchema*>*):Adding new table: HostDailyStat className: HostDailyStat
Thu Jan 14 13:42:12 2010:6207 src/schema.cpp:126 void Stone::parseTable(Stone::Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<Stone::TableSchema*>*):Adding new table: HostGroup className: HostGroup
Thu Jan 14 13:42:12 2010:6207 src/schema.cpp:126 void Stone::parseTable(Stone::Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<Stone::TableSchema*>*):Adding new table: DynamicHostGroup className: DynamicHostGroup parent: HostGroup
Thu Jan 14 13:42:12 2010:6207 src/schema.cpp:126 void Stone::parseTable(Stone::Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<Stone::TableSchema*>*):Adding new table: HostGroupItem className: HostGroupItem
Thu Jan 14 13:42:12 2010:6207 src/schema.cpp:126 void Stone::parseTable(Stone::Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<Stone::TableSchema*>*):Adding new table: HostHistory className: HostHistory
Thu Jan 14 13:42:12 2010:6207 src/schema.cpp:126 void Stone::parseTable(Stone::Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<Stone::TableSchema*>*):Adding new table: HostInterface className: HostInterface
Thu Jan 14 13:42:12 2010:6207 src/schema.cpp:126 void Stone::parseTable(Stone::Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<Stone::TableSchema*>*):Adding new table: HostInterfaceType className: HostInterfaceType
Thu Jan 14 13:42:12 2010:6207 src/schema.cpp:126 void Stone::parseTable(Stone::Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<Stone::TableSchema*>*):Adding new table: HostLoad className: HostLoad
Thu Jan 14 13:42:12 2010:6207 src/schema.cpp:126 void Stone::parseTable(Stone::Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<Stone::TableSchema*>*):Adding new table: HostMapping className: HostMapping
Thu Jan 14 13:42:12 2010:6207 src/schema.cpp:126 void Stone::parseTable(Stone::Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<Stone::TableSchema*>*):Adding new table: HostResource className: HostResource
Thu Jan 14 13:42:12 2010:6207 src/schema.cpp:126 void Stone::parseTable(Stone::Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<Stone::TableSchema*>*):Adding new table: HostService className: HostService
Thu Jan 14 13:42:12 2010:6207 src/schema.cpp:126 void Stone::parseTable(Stone::Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<Stone::TableSchema*>*):Adding new table: HostSoftware className: HostSoftware
Thu Jan 14 13:42:12 2010:6207 src/schema.cpp:126 void Stone::parseTable(Stone::Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<Stone::TableSchema*>*):Adding new table: HostStatus className: HostStatus
Thu Jan 14 13:42:12 2010:6207 src/schema.cpp:126 void Stone::parseTable(Stone::Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<Stone::TableSchema*>*):Adding new table: Job className: Job
Thu Jan 14 13:42:12 2010:6207 src/schema.cpp:126 void Stone::parseTable(Stone::Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<Stone::TableSchema*>*):Adding new table: Job3Delight className: Job3Delight parent: Job
Thu Jan 14 13:42:12 2010:6207 src/schema.cpp:126 void Stone::parseTable(Stone::Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<Stone::TableSchema*>*):Adding new table: JobAfterEffects className: JobAfterEffects parent: Job
